gene_id	gene_name	chromosome	start	end
ENSG00000187608	ISG15	chr1	1001138	1014540
ENSG00000303614	ENSG00000303614	chr1	1004058	1006442
ENSG00000231702	ENSG00000231702	chr1	1008076	1008229
ENSG00000224969	ENSG00000224969	chr1	1011997	1013193
ENSG00000188157	AGRN	chr1	1020120	1056119
ENSG00000242590	ENSG00000242590	chr1	1055033	1056116
ENSG00000291156	ENSG00000291156	chr1	1058461	1066464
ENSG00000273443	ENSG00000273443	chr1	1061267	1064278
ENSG00000217801	ENSG00000217801	chr1	1063079	1069355
ENSG00000304119	ENSG00000304119	chr1	1065634	1069347
ENSG00000304169	ENSG00000304169	chr1	1069213	1072933
ENSG00000237330	RNF223	chr1	1070967	1074306
ENSG00000131591	C1orf159	chr1	1081818	1116361
ENSG00000285812	ENSG00000285812	chr1	1097585	1104598
ENSG00000299943	ENSG00000299943	chr1	1126312	1129023
ENSG00000223823	LINC01342	chr1	1137017	1144056
ENSG00000304965	ENSG00000304965	chr1	1157405	1158254
ENSG00000207730	MIR200B	chr1	1167104	1167198
ENSG00000207607	MIR200A	chr1	1167863	1167952
ENSG00000198976	MIR429	chr1	1169005	1169087
ENSG00000272141	ENSG00000272141	chr1	1169357	1170343
ENSG00000205231	TTLL10-AS1	chr1	1173056	1179555
ENSG00000162571	TTLL10	chr1	1173880	1197936
ENSG00000186891	TNFRSF18	chr1	1203508	1206592
ENSG00000186827	TNFRSF4	chr1	1211326	1214153
ENSG00000304412	ENSG00000304412	chr1	1216908	1228947
ENSG00000078808	SDF4	chr1	1216931	1232031
ENSG00000176022	B3GALT6	chr1	1232237	1235041
ENSG00000184163	C1QTNF12	chr1	1242446	1246722
ENSG00000260179	ENSG00000260179	chr1	1249777	1251334
ENSG00000160087	UBE2J2	chr1	1253909	1273864
ENSG00000230415	LINC01786	chr1	1274033	1280420
ENSG00000162572	SCNN1D	chr1	1280436	1292029
ENSG00000131584	ACAP3	chr1	1292390	1309609
ENSG00000278073	MIR6726	chr1	1296110	1296170
ENSG00000169972	PUSL1	chr1	1308597	1311677
ENSG00000127054	INTS11	chr1	1311585	1324687
ENSG00000283712	MIR6727	chr1	1312502	1312566
ENSG00000240731	ENSG00000240731	chr1	1317581	1318689
ENSG00000224051	CPTP	chr1	1324756	1328896
ENSG00000169962	TAS1R3	chr1	1331280	1335314
ENSG00000107404	DVL1	chr1	1335276	1349418
ENSG00000284372	MIR6808	chr1	1339650	1339708
ENSG00000304860	ENSG00000304860	chr1	1348183	1362350
ENSG00000162576	MXRA8	chr1	1352689	1361777
ENSG00000175756	AURKAIP1	chr1	1373730	1375207
ENSG00000223663	NDUFB4P8	chr1	1378666	1379032
ENSG00000221978	CCNL2	chr1	1385711	1399335
ENSG00000224870	MRPL20-AS1	chr1	1399476	1402054
ENSG00000242485	MRPL20	chr1	1401909	1407293
ENSG00000264293	RN7SL657P	chr1	1405460	1405752
ENSG00000301639	ENSG00000301639	chr1	1407358	1408306
ENSG00000272455	MRPL20-DT	chr1	1409096	1410618
ENSG00000235098	ANKRD65	chr1	1418420	1421769
ENSG00000225905	ANKRD65-AS1	chr1	1420245	1423287
ENSG00000205116	TMEM88B	chr1	1425871	1430255
ENSG00000225285	LINC01770	chr1	1429194	1435625
ENSG00000179403	VWA1	chr1	1434861	1442882
ENSG00000215915	ATAD3C	chr1	1449689	1470163
ENSG00000160072	ATAD3B	chr1	1471765	1497848
ENSG00000290916	ENSG00000290916	chr1	1503224	1509526
ENSG00000284740	ENSG00000284740	chr1	1503582	1509351
ENSG00000197785	ATAD3A	chr1	1512162	1534685
ENSG00000205090	TMEM240	chr1	1534778	1540624
ENSG00000299413	ENSG00000299413	chr1	1539564	1592377
ENSG00000160075	SSU72	chr1	1541673	1574863
ENSG00000215014	SSU72-AS1	chr1	1574102	1577075
ENSG00000274481	ENSG00000274481	chr1	1583510	1583909
ENSG00000228594	FNDC10	chr1	1598012	1600135
ENSG00000286989	ENSG00000286989	chr1	1600182	1607327
ENSG00000272106	ENSG00000272106	chr1	1613758	1615795
ENSG00000197530	MIB2	chr1	1615454	1630605
ENSG00000189409	MMP23B	chr1	1632163	1635263
ENSG00000248333	CDK11B	chr1	1635225	1659012
ENSG00000272004	ENSG00000272004	chr1	1659027	1662939
ENSG00000189339	SLC35E2B	chr1	1659529	1692795
ENSG00000293187	ENSG00000293187	chr1	1671990	1673411
ENSG00000269737	ENSG00000269737	chr1	1673275	1674397
ENSG00000310190	ENSG00000310190	chr1	1692528	1701814
ENSG00000310238	ENSG00000310238	chr1	1698620	1700731
ENSG00000215914	MMP23A	chr1	1699942	1701782
ENSG00000008128	CDK11A	chr1	1702379	1724357
ENSG00000268575	ENSG00000268575	chr1	1702736	1737688
ENSG00000293188	ENSG00000293188	chr1	1724194	1736519
ENSG00000290854	ENSG00000290854	chr1	1724838	1745992
ENSG00000215790	SLC35E2A	chr1	1734690	1739557
ENSG00000227775	ENSG00000227775	chr1	1735817	1737251
ENSG00000008130	NADK	chr1	1751232	1780457
ENSG00000302550	ENSG00000302550	chr1	1783129	1796057
ENSG00000078369	GNB1	chr1	1785285	1892292
ENSG00000231050	GNB1-DT	chr1	1891175	1892835
ENSG00000303984	ENSG00000303984	chr1	1891400	1891754
ENSG00000294910	ENSG00000294910	chr1	1906002	1909117
ENSG00000306476	ENSG00000306476	chr1	1909317	1910418
ENSG00000169885	CALML6	chr1	1915108	1917296
ENSG00000178821	TMEM52	chr1	1917590	1919279
ENSG00000142609	CFAP74	chr1	1921951	2003837
ENSG00000233542	ENSG00000233542	chr1	2013198	2019198
ENSG00000187730	GABRD	chr1	2019329	2030758
ENSG00000304958	ENSG00000304958	chr1	2033503	2047450
ENSG00000226969	PRKCZ-DT	chr1	2049202	2050176
ENSG00000067606	PRKCZ	chr1	2050411	2185395
ENSG00000308181	ENSG00000308181	chr1	2103345	2104917
ENSG00000271806	ENSG00000271806	chr1	2141084	2145279
ENSG00000182873	PRKCZ-AS1	chr1	2181794	2184389
ENSG00000162585	FAAP20	chr1	2184461	2212720
ENSG00000304038	ENSG00000304038	chr1	2207046	2208854
ENSG00000234396	ENSG00000234396	chr1	2212523	2220738
ENSG00000304143	ENSG00000304143	chr1	2212965	2214206
ENSG00000157933	SKI	chr1	2227388	2310213
ENSG00000295493	ENSG00000295493	chr1	2300846	2301069
ENSG00000287356	ENSG00000287356	chr1	2314917	2323085
ENSG00000116151	MORN1	chr1	2321253	2391707
ENSG00000272161	ENSG00000272161	chr1	2326201	2326693
ENSG00000292993	ENSG00000292993	chr1	2350414	2352820
ENSG00000269896	ENSG00000269896	chr1	2351644	2351857
ENSG00000272420	ENSG00000272420	chr1	2363061	2363628
ENSG00000295371	ENSG00000295371	chr1	2385375	2388508
ENSG00000157916	RER1	chr1	2391775	2405442
ENSG00000157911	PEX10	chr1	2403964	2413797
ENSG00000149527	PLCH2	chr1	2425980	2505532
ENSG00000224387	ENSG00000224387	chr1	2492300	2493258
ENSG00000229393	ENSG00000229393	chr1	2493437	2494479
ENSG00000157881	PANK4	chr1	2508537	2526597
ENSG00000197921	HES5	chr1	2528745	2530263
ENSG00000272449	ENSG00000272449	chr1	2530064	2547878
ENSG00000238164	TNFRSF14-AS1	chr1	2540861	2557059
ENSG00000307979	ENSG00000307979	chr1	2550557	2552503
ENSG00000157873	TNFRSF14	chr1	2555639	2565382
ENSG00000225931	ENSG00000225931	chr1	2566410	2569888
ENSG00000307958	ENSG00000307958	chr1	2576210	2580567
ENSG00000228037	ENSG00000228037	chr1	2577043	2584553
ENSG00000289610	ENSG00000289610	chr1	2585590	2586283
ENSG00000157870	PRXL2B	chr1	2586491	2591469
ENSG00000142606	MMEL1	chr1	2590639	2633016
ENSG00000237058	MMEL1-AS1	chr1	2628688	2636624
ENSG00000215912	TTC34	chr1	2636986	2801693
ENSG00000285945	ENSG00000285945	chr1	2768091	2784733
ENSG00000283259	ENSG00000283259	chr1	2773603	2776473
ENSG00000233234	ENSG00000233234	chr1	2811850	2812692
ENSG00000287396	ENSG00000287396	chr1	2814020	2817789
ENSG00000231630	ENSG00000231630	chr1	2814432	2814998
ENSG00000302855	ENSG00000302855	chr1	2822159	2823360
ENSG00000295089	ENSG00000295089	chr1	2855194	2855996
ENSG00000300015	ENSG00000300015	chr1	2873653	2875675
ENSG00000284745	ENSG00000284745	chr1	2960355	2968707
ENSG00000169717	ACTRT2	chr1	3021467	3022903
ENSG00000177133	PRDM16-DT	chr1	3059564	3070251
ENSG00000142611	PRDM16	chr1	3069168	3438621
ENSG00000283572	MIR4251	chr1	3127975	3128035
ENSG00000226286	ENSG00000226286	chr1	3132927	3133709
ENSG00000306427	ENSG00000306427	chr1	3161276	3167152
ENSG00000279839	ENSG00000279839	chr1	3205988	3208664
ENSG00000306439	ENSG00000306439	chr1	3211011	3213146
ENSG00000272235	ENSG00000272235	chr1	3306636	3310096
ENSG00000287828	ENSG00000287828	chr1	3312741	3323149
ENSG00000286518	ENSG00000286518	chr1	3367815	3373928
ENSG00000295754	ENSG00000295754	chr1	3439154	3441727
ENSG00000297626	ENSG00000297626	chr1	3453403	3454339
ENSG00000130762	ARHGEF16	chr1	3454665	3481113
ENSG00000272088	ENSG00000272088	chr1	3487246	3487627
ENSG00000162591	MEGF6	chr1	3487951	3611508
ENSG00000207776	MIR551A	chr1	3560695	3560790
ENSG00000309127	ENSG00000309127	chr1	3619643	3622906
ENSG00000238260	ENSG00000238260	chr1	3620739	3624787
ENSG00000158109	TPRG1L	chr1	3625015	3630127
ENSG00000116213	WRAP73	chr1	3630767	3652761
ENSG00000078900	TP73	chr1	3652516	3736201
ENSG00000227589	TP73-AS3	chr1	3658938	3668772
ENSG00000235131	TP73-AS2	chr1	3712200	3714298
ENSG00000293478	GFOD3P	chr1	3735511	3747373
ENSG00000276189	ENSG00000276189	chr1	3736943	3737103
ENSG00000227372	GFOD3P	chr1	3738434	3746742
ENSG00000162592	CCDC27	chr1	3746460	3771645
ENSG00000296834	ENSG00000296834	chr1	3750341	3752342
ENSG00000235169	SMIM1	chr1	3772749	3775982
ENSG00000130764	LRRC47	chr1	3778559	3796498
ENSG00000266075	RN7SL574P	chr1	3782815	3783111
ENSG00000272153	ENSG00000272153	chr1	3785008	3785538
ENSG00000116198	CEP104	chr1	3812086	3857396
ENSG00000169598	DFFB	chr1	3857267	3885429
ENSG00000198912	C1orf174	chr1	3889125	3900293
ENSG00000236423	LINC01134	chr1	3900187	3917547
ENSG00000233304	LINC01346	chr1	3940486	3955262
ENSG00000226374	LINC01345	chr1	3944547	3949024
ENSG00000284668	LINC02780	chr1	3976133	4093062
ENSG00000284703	ENSG00000284703	chr1	4012921	4019843
ENSG00000296871	ENSG00000296871	chr1	4043675	4046929
ENSG00000308587	ENSG00000308587	chr1	4108078	4108993
ENSG00000229280	EEF1DP6	chr1	4175528	4175899
ENSG00000301255	ENSG00000301255	chr1	4224706	4228239
ENSG00000299169	ENSG00000299169	chr1	4267345	4269793
ENSG00000302287	ENSG00000302287	chr1	4317882	4319668
ENSG00000235054	LINC01777	chr1	4412027	4424689
ENSG00000306535	ENSG00000306535	chr1	4460526	4463221
ENSG00000284694	ENSG00000284694	chr1	4479131	4484375
ENSG00000299517	ENSG00000299517	chr1	4495360	4497501
ENSG00000227169	ENSG00000227169	chr1	4551735	4552145
ENSG00000295490	ENSG00000295490	chr1	4555871	4556410
ENSG00000232596	LINC01646	chr1	4571481	4594016
ENSG00000300565	ENSG00000300565	chr1	4603690	4622259
ENSG00000303830	ENSG00000303830	chr1	4627314	4634700
ENSG00000196581	AJAP1	chr1	4654609	4792534
ENSG00000287586	ENSG00000287586	chr1	4730211	4734992
ENSG00000284739	ENSG00000284739	chr1	4957519	4973298
ENSG00000284674	LINC02781	chr1	4973381	4981568
ENSG00000309102	ENSG00000309102	chr1	4992579	4998772
ENSG00000309111	ENSG00000309111	chr1	4997979	5004012
ENSG00000231510	LINC02782	chr1	5086459	5090899
ENSG00000296716	ENSG00000296716	chr1	5155566	5161643
ENSG00000302269	ENSG00000302269	chr1	5220546	5225258
ENSG00000306645	ENSG00000306645	chr1	5292485	5295192
ENSG00000284616	ENSG00000284616	chr1	5301928	5307394
ENSG00000302445	ENSG00000302445	chr1	5426089	5430776
ENSG00000302452	ENSG00000302452	chr1	5430322	5433023
ENSG00000295735	ENSG00000295735	chr1	5448819	5455118
ENSG00000284692	ENSG00000284692	chr1	5478736	5493057
ENSG00000284666	ENSG00000284666	chr1	5480787	5482028
ENSG00000260972	ENSG00000260972	chr1	5492978	5494674
ENSG00000299325	ENSG00000299325	chr1	5502638	5503846
ENSG00000283356	ENSG00000283356	chr1	5554747	5554881
ENSG00000289893	ENSG00000289893	chr1	5561708	5771608
ENSG00000264341	ENSG00000264341	chr1	5564071	5564143
ENSG00000295108	ENSG00000295108	chr1	5597389	5614160
ENSG00000295122	ENSG00000295122	chr1	5706880	5709714
ENSG00000298180	ENSG00000298180	chr1	5834386	5838310
ENSG00000264101	MIR4689	chr1	5862672	5862741
ENSG00000131697	NPHP4	chr1	5862811	5992473
ENSG00000299539	ENSG00000299539	chr1	5897461	5902448
ENSG00000069424	KCNAB2	chr1	5990927	6101193
ENSG00000116254	CHD5	chr1	6101787	6180321
ENSG00000285629	ENSG00000285629	chr1	6159430	6197757
ENSG00000116251	RPL22	chr1	6185020	6209389
ENSG00000226944	RNF207-AS1	chr1	6204835	6206041
ENSG00000158286	RNF207	chr1	6205475	6221299
ENSG00000116237	ICMT	chr1	6221193	6235972
ENSG00000225077	ICMT-DT	chr1	6234692	6239448
ENSG00000173673	HES3	chr1	6244179	6245578
ENSG00000158292	GPR153	chr1	6247353	6261098
ENSG00000097021	ACOT7	chr1	6264269	6393767
ENSG00000271746	ENSG00000271746	chr1	6393555	6394391
ENSG00000069812	HES2	chr1	6412418	6424670
ENSG00000187017	ESPN	chr1	6424776	6461367
ENSG00000265392	MIR4252	chr1	6429834	6429896
ENSG00000231868	ENSG00000231868	chr1	6443034	6447006
ENSG00000215788	TNFRSF25	chr1	6460786	6466175
ENSG00000171680	PLEKHG5	chr1	6467122	6520074
ENSG00000297749	ENSG00000297749	chr1	6485037	6487704
ENSG00000299237	ENSG00000299237	chr1	6490640	6494731
ENSG00000299253	ENSG00000299253	chr1	6490905	6493396
ENSG00000162408	NOL9	chr1	6521347	6554513
ENSG00000253022	RNU6-731P	chr1	6540854	6540964
ENSG00000229519	ENSG00000229519	chr1	6547905	6548619
ENSG00000173662	TAS1R1	chr1	6555307	6579755
ENSG00000204859	ZBTB48	chr1	6579994	6589280
ENSG00000162413	KLHL21	chr1	6590724	6614607
ENSG00000295286	ENSG00000295286	chr1	6598943	6600379
ENSG00000304810	ENSG00000304810	chr1	6612997	6613159
ENSG00000116273	PHF13	chr1	6613731	6624030
ENSG00000041988	THAP3	chr1	6624868	6635586
ENSG00000007923	DNAJC11	chr1	6634168	6701924
ENSG00000228750	LINC01672	chr1	6724626	6730012
ENSG00000284744	ENSG00000284744	chr1	6767954	6770038
ENSG00000237436	CAMTA1-DT	chr1	6783892	6784843
ENSG00000171735	CAMTA1	chr1	6785454	7769706
ENSG00000227950	ENSG00000227950	chr1	6834333	6834618
ENSG00000237365	CAMTA1-AS3	chr1	7008376	7014279
ENSG00000207056	RNU1-8P	chr1	7219360	7219524
ENSG00000310450	ENSG00000310450	chr1	7237660	7240057
ENSG00000237402	CAMTA1-IT1	chr1	7312886	7370277
ENSG00000237728	CAMTA1-AS2	chr1	7379384	7389915
ENSG00000294314	ENSG00000294314	chr1	7390031	7411735
ENSG00000225126	CAMTA1-AS1	chr1	7440491	7441612
ENSG00000298973	ENSG00000298973	chr1	7507509	7509131
ENSG00000306883	ENSG00000306883	chr1	7557505	7558106
ENSG00000302704	ENSG00000302704	chr1	7583643	7588823
ENSG00000270171	ENSG00000270171	chr1	7693124	7694844
ENSG00000270035	ENSG00000270035	chr1	7698303	7698872
ENSG00000269978	ENSG00000269978	chr1	7700704	7702528
ENSG00000300603	ENSG00000300603	chr1	7769955	7771187
ENSG00000049245	VAMP3	chr1	7771296	7781432
ENSG00000269925	ENSG00000269925	chr1	7776383	7776775
ENSG00000049246	PER3	chr1	7784291	7845177
ENSG00000236266	ENSG00000236266	chr1	7788351	7827342
ENSG00000049247	UTS2	chr1	7843083	7853512
ENSG00000302605	ENSG00000302605	chr1	7856311	7913257
ENSG00000049249	TNFRSF9	chr1	7915871	7943165
ENSG00000270330	ENSG00000270330	chr1	7942372	7942726
ENSG00000116288	PARK7	chr1	7954291	7985505
ENSG00000299004	ENSG00000299004	chr1	7960536	7961526
ENSG00000200344	Y_RNA	chr1	7982881	7982983
ENSG00000284747	ENSG00000284747	chr1	7991134	8005312
ENSG00000284716	ENSG00000284716	chr1	7998187	7999934
ENSG00000116285	ERRFI1	chr1	8004404	8026309
ENSG00000238290	ERRFI1-DT	chr1	8026413	8187014
ENSG00000232848	RPL7AP18	chr1	8057245	8058463
ENSG00000301325	ENSG00000301325	chr1	8093486	8113404
ENSG00000227634	LINC01714	chr1	8158695	8215242
ENSG00000229305	ENSG00000229305	chr1	8189824	8192770
ENSG00000301344	ENSG00000301344	chr1	8197389	8203165
ENSG00000200975	RNU1-7P	chr1	8206434	8206597
ENSG00000233645	ENSG00000233645	chr1	8218190	8220529
ENSG00000298156	ENSG00000298156	chr1	8240001	8249009
ENSG00000301025	ENSG00000301025	chr1	8256341	8260244
ENSG00000301006	ENSG00000301006	chr1	8257357	8295010
ENSG00000251977	RNU6-991P	chr1	8292157	8292263
ENSG00000162426	SLC45A1	chr1	8318114	8344167
ENSG00000252254	Y_RNA	chr1	8328067	8328179
ENSG00000142599	RERE	chr1	8352397	8848921
ENSG00000232912	RERE-AS1	chr1	8424645	8435013
ENSG00000221083	ENSG00000221083	chr1	8511795	8511919
ENSG00000270282	ENSG00000270282	chr1	8512653	8513021
ENSG00000234619	RPL7P11	chr1	8750430	8751087
ENSG00000224315	RPL7P7	chr1	8786211	8786913
ENSG00000303676	ENSG00000303676	chr1	8789577	8790281
ENSG00000222511	Y_RNA	chr1	8796571	8796673
ENSG00000226545	ENSG00000226545	chr1	8798475	8799506
ENSG00000228423	ENSG00000228423	chr1	8805860	8807051
ENSG00000229716	RPL23AP19	chr1	8831007	8831375
ENSG00000074800	ENO1	chr1	8861000	8879190
ENSG00000274258	MIR6728	chr1	8866502	8866590
ENSG00000230679	ENO1-AS1	chr1	8878464	8880122
ENSG00000201725	RNU6-304P	chr1	8883427	8883533
ENSG00000238249	HMGN2P17	chr1	8893409	8894151
ENSG00000310107	ENSG00000310107	chr1	8893871	8926885
ENSG00000232208	ENSG00000232208	chr1	8907393	8907744
ENSG00000232663	ENSG00000232663	chr1	8909742	8909904
ENSG00000310124	ENSG00000310124	chr1	8923155	8939708
ENSG00000131686	CA6	chr1	8945867	8975092
ENSG00000290109	ENSG00000290109	chr1	8970490	8971246
ENSG00000265141	RN7SL451P	chr1	8979576	8979874
ENSG00000197241	SLC2A7	chr1	9002973	9026423
ENSG00000142583	SLC2A5	chr1	9035106	9088478
ENSG00000252404	ENSG00000252404	chr1	9082696	9082879
ENSG00000180758	GPR157	chr1	9100305	9129102
ENSG00000228526	MIR34AHG	chr1	9139555	9202826
ENSG00000284357	MIR34A	chr1	9151668	9151777
ENSG00000289914	ENSG00000289914	chr1	9162321	9162945
ENSG00000302015	ENSG00000302015	chr1	9163078	9163571
ENSG00000234546	LNCTAM34A	chr1	9181588	9198023
ENSG00000301983	ENSG00000301983	chr1	9197190	9198761
ENSG00000301968	ENSG00000301968	chr1	9200784	9203619
ENSG00000049239	H6PD	chr1	9234774	9271337
ENSG00000302217	ENSG00000302217	chr1	9241960	9242715
ENSG00000171621	SPSB1	chr1	9292894	9369532
ENSG00000294252	ENSG00000294252	chr1	9321174	9334689
ENSG00000296073	ENSG00000296073	chr1	9370608	9373541
ENSG00000296056	ENSG00000296056	chr1	9371972	9375157
ENSG00000307568	ENSG00000307568	chr1	9410613	9417880
ENSG00000284652	ENSG00000284652	chr1	9421098	9422862
ENSG00000284693	LINC02606	chr1	9425094	9455910
ENSG00000252956	RNA5SP40	chr1	9437669	9437778
ENSG00000301013	ENSG00000301013	chr1	9438728	9445143
ENSG00000301030	ENSG00000301030	chr1	9448629	9449491
ENSG00000306844	ENSG00000306844	chr1	9466645	9467370
ENSG00000296249	ENSG00000296249	chr1	9490342	9492604
ENSG00000235263	ENSG00000235263	chr1	9500754	9503536
ENSG00000171612	SLC25A33	chr1	9539465	9585173
ENSG00000231181	ENSG00000231181	chr1	9576427	9576985
ENSG00000188807	TMEM201	chr1	9588911	9614877
ENSG00000307011	ENSG00000307011	chr1	9628393	9629425
ENSG00000171608	PIK3CD	chr1	9629889	9729114
ENSG00000179840	PIK3CD-AS1	chr1	9652610	9654586
ENSG00000233268	ENSG00000233268	chr1	9660828	9662626
ENSG00000301080	ENSG00000301080	chr1	9672405	9687565
ENSG00000231789	PIK3CD-AS2	chr1	9672405	9687604
ENSG00000171603	CLSTN1	chr1	9728926	9823984
ENSG00000271264	MZT1P1	chr1	9780822	9781240
ENSG00000280113	ENSG00000280113	chr1	9826289	9828271
ENSG00000178585	CTNNBIP1	chr1	9848276	9910336
ENSG00000223989	ENSG00000223989	chr1	9848318	9850154
ENSG00000285701	ENSG00000285701	chr1	9900614	9908034
ENSG00000228150	ENSG00000228150	chr1	9909408	9949974
ENSG00000162441	LZIC	chr1	9922113	9943407
ENSG00000173614	NMNAT1	chr1	9943428	9985501
ENSG00000202415	RN7SKP269	chr1	9947318	9947636
ENSG00000283611	TMEM274P	chr1	9950572	9960787
ENSG00000265521	MIR5697	chr1	9967381	9967458
ENSG00000241326	ENSG00000241326	chr1	9983141	9984568
ENSG00000162444	RBP7	chr1	9997206	10016021
ENSG00000130939	UBE4B	chr1	10032832	10181239
ENSG00000224340	RPL21P21	chr1	10054445	10054781
ENSG00000233623	PGAM1P11	chr1	10058671	10059648
ENSG00000201746	RNU6-828P	chr1	10163268	10163374
ENSG00000054523	KIF1B	chr1	10210570	10381603
ENSG00000264881	ENSG00000264881	chr1	10227718	10227803
ENSG00000199562	RNU6-37P	chr1	10298966	10299072
ENSG00000264501	RN7SL731P	chr1	10306465	10306757
ENSG00000284735	ENSG00000284735	chr1	10381906	10387150
ENSG00000284642	ENSG00000284642	chr1	10395416	10397432
ENSG00000142657	PGD	chr1	10398592	10420511
ENSG00000271989	ENSG00000271989	chr1	10429881	10430677
ENSG00000251503	CENPS-CORT	chr1	10430102	10452153
ENSG00000175279	CENPS	chr1	10430433	10442808
ENSG00000241563	CORT	chr1	10450031	10451998
ENSG00000160049	DFFA	chr1	10456522	10472529
ENSG00000203469	ENSG00000203469	chr1	10458555	10459338
ENSG00000142655	PEX14	chr1	10472288	10630758
ENSG00000307253	ENSG00000307253	chr1	10589712	10605367
ENSG00000287727	ENSG00000287727	chr1	10612222	10616452
ENSG00000243267	RN7SL614P	chr1	10616836	10617115
ENSG00000130940	CASZ1	chr1	10636604	10796650
ENSG00000272078	ENSG00000272078	chr1	10639241	10654333
ENSG00000298629	ENSG00000298629	chr1	10728728	10731991
ENSG00000308013	ENSG00000308013	chr1	10865458	10866806
